,Acronym,RosterID,Completions,Attempts,PassingYards,PassingTDs,Interceptions,QBRate,QBR,RushingAttempts,RushingYards,RushingTDs,RushingYPG,RushingAPG,PassTargets,Receptions,ReceivingYards,ReceivingTDs,CatchPercentage,Touches,YardsFromScrimmage,Fumbles
0,sfo,sfo53TyrellAdams,,,,,,,,,,,,,,,,,,,,
1,sfo,sfo11BrandonAiyuk,,,,,,,,5,17,0,1.0,0.3,84.0,56.0,826.0,5.0,66.7%,61.0,2,2
2,sfo,sfo51AzeezAl-Shaair,,,,,,,,,,,,,,,,,,,,
3,sfo,sfo91ArikArmstead,,,,,,,,,,,,,,,,,,,,
4,sfo,sfo62AaronBanks,,,,,,,,,,,,,,,,,,,,
5,sfo,sfo17TravisBenjamin,,,,,,,,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0%,0.0,1,1
6,sfo,sfo97NickBosa,,,,,,,,,,,,,,,,,,,,
7,sfo,sfo64JakeBrendel,,,,,,,,,,,,,,,,,,,,
8,sfo,sfo60DanielBrunskill,,,,,,,,,,,,,,,,,,,,
9,sfo,sfo40TrentonCannon,,,,,,,,1,-1,0,-0.1,0.1,,,,,,1.0,1,1
10,sfo,sfo66TomCompton,,,,,,,,,,,,,,,,,,,,
11,sfo,sfo13RiverCracraft,,,,,,,,,,,,,,,,,,,,
12,sfo,sfo43DarquezeDennard,,,,,,,,,,,,,,,,,,,,
13,sfo,sfo82RossDwelley,,,,,,,,0,0,0,0.0,0.0,5.0,4.0,51.0,1.0,80.0%,4.0,0,0
14,sfo,sfo56SamsonEbukam,,,,,,,,,,,,,,,,,,,,
15,sfo,sfo45DemetriusFlannigan-Fowles,,,,,,,,,,,,,,,,,,,,
16,sfo,sfo55DeeFord,,,,,,,,,,,,,,,,,,,,
17,sfo,sfo10JimmyGaroppolo,301,441,3810,20,12,98.7,53.3,38,51,3,3.4,2.5,,,,,,38.0,8,8
18,sfo,sfo90KevinGivens,,,,,,,,,,,,,,,,,,,,
19,sfo,sfo09RobbieGould,,,,,,,,,,,,,,,,,,,,
20,sfo,sfo57DreGreenlaw,,,,,,,,,,,,,,,,,,,,
21,sfo,sfo26DavontaeHarris,,,,,,,,,,,,,,,,,,,,
22,sfo,sfo36MarcellHarris,,,,,,,,,,,,,,,,,,,,
23,sfo,sfo23JamycalHasty,,,,,,,,16,68,1,6.2,1.5,29.0,23.0,157.0,0.0,79.3%,39.0,2,2
24,sfo,sfo35BrianHill,,,,,,,,,,,,,,,,,,,,
25,sfo,sfo84TannerHudson,,,,,,,,,,,,,,,,,,,,
26,sfo,sfo29TalanoaHufanga,,,,,,,,,,,,,,,,,,,,
27,sfo,sfo96MauriceHurst,,,,,,,,,,,,,,,,,,,,
28,sfo,sfo25TonyJefferson,,,,,,,,207,963,5,87.5,18.8,20.0,19.0,137.0,1.0,95.0%,226.0,0,0
29,sfo,sfo15JauanJennings,,,,,,,,0,0,0,0.0,0.0,38.0,24.0,282.0,5.0,63.2%,24.0,1,1
30,sfo,sfo27DontaeJohnson,,,,,,,,,,,,,,,,,,,,
31,sfo,sfo48KerryonJohnson,,,,,,,,,,,,,,,,,,,,
32,sfo,sfo93D.J.Jones,,,,,,,,,,,,,,,,,,,,
33,sfo,sfo44KyleJuszczyk,,,,,,,,8,22,1,1.3,0.5,38.0,30.0,296.0,1.0,78.9%,38.0,0,0
34,sfo,sfo92ZachKerr,,,,,,,,,,,,,,,,,,,,
35,sfo,sfo98ArdenKey,,,,,,,,,,,,,,,,,,,,
36,sfo,sfo99JavonKinlaw,,,,,,,,,,,,,,,,,,,,
37,sfo,sfo13DreKirkpatrick,,,,,,,,,,,,,,,,,,,,
38,sfo,sfo85GeorgeKittle,,,,,,,,3,20,0,1.4,0.2,94.0,71.0,910.0,6.0,75.5%,74.0,2,2
39,sfo,sfo05TreyLance,41,71,603,5,2,97.3,33.4,38,168,1,28.0,6.3,,,,,,38.0,0,0
40,sfo,sfo38DeommodoreLenoir,,,,,,,,,,,,,,,,,,,,
41,sfo,sfo50AlexMack,,,,,,,,,,,,,,,,,,,,
42,sfo,sfo59JustinMarch,,,,,,,,,,,,,,,,,,,,
43,sfo,sfo88JordanMatthews,,,,,,,,,,,,,,,,,,,,
44,sfo,sfo69MikeMcGlinchey,,,,,,,,,,,,,,,,,,,,
45,sfo,sfo68ColtonMcKivitz,,,,,,,,,,,,,,,,,,,,
46,sfo,sfo25ElijahMitchell,,,,,,,,207,963,5,87.5,18.8,20.0,19.0,137.0,1.0,95.0%,226.0,0,0
47,sfo,sfo76JaylonMoore,,,,,,,,,,,,,,,,,,,,
48,sfo,sfo04EmmanuelMoseley,,,,,,,,,,,,,,,,,,,,
49,sfo,sfo31RaheemMostert,,,,,,,,,,,,,,,,,,,,
50,sfo,sfo43KaiNacua,,,,,,,,,,,,,,,,,,,,
51,sfo,sfo26JoshNorman,,,,,,,,,,,,,,,,,,,,
52,sfo,sfo53MarkNzeocha,,,,,,,,,,,,,,,,,,,,
53,sfo,sfo92CharlesOmenihu,,,,,,,,,,,,,,,,,,,,
54,sfo,sfo31JacquesPatrick,,,,,,,,,,,,,,,,,,,,
55,sfo,sfo46TayborPepper,,,,,,,,,,,,,,,,,,,,
56,sfo,sfo59CurtisRobinson,,,,,,,,,,,,,,,,,,,,
57,sfo,sfo19DeeboSamuel,1,2,24,1,0,133.3,98.7,59,365,8,22.8,3.7,121.0,77.0,1405.0,6.0,63.6%,136.0,4,4
58,sfo,sfo18MohamedSanu,,,,,,,,0,0,0,0.0,0.0,24.0,15.0,177.0,0.0,62.5%,15.0,0,0
59,sfo,sfo28TreySermon,,,,,,,,41,167,1,18.6,4.6,4.0,3.0,26.0,0.0,75.0%,44.0,0,0
60,sfo,sfo81TrentSherfield,,,,,,,,0,0,0,0.0,0.0,20.0,9.0,87.0,1.0,45.0%,9.0,0,0
61,sfo,sfo41BusterSkrine,,,,,,,,,,,,,,,,,,,,
62,sfo,sfo14JoeySlye,,,,,,,,,,,,,,,,,,,,
63,sfo,sfo47SaivionSmith,,,,,,,,,,,,,,,,,,,,
64,sfo,sfo95KentaviusStreet,,,,,,,,,,,,,,,,,,,,
65,sfo,sfo26JaquiskiTartt,,,,,,,,,,,,,,,,,,,,
66,sfo,sfo20AmbryThomas,,,,,,,,,,,,,,,,,,,,
67,sfo,sfo75LakenTomlinson,,,,,,,,,,,,,,,,,,,,
68,sfo,sfo02JasonVerrett,,,,,,,,,,,,,,,,,,,,
69,sfo,sfo01JimmieWard,,,,,,,,,,,,,,,,,,,,
70,sfo,sfo54FredWarner,,,,,,,,,,,,,,,,,,,,
71,sfo,sfo24K'WaunWilliams,,,,,,,,,,,,,,,,,,,,
72,sfo,sfo71TrentWilliams,,,,,,,,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0%,0.0,0,0
